state,pc1,pc2,free_energy_kJ_mol,frame_index,time_ps,distance_in_PC_space
State_01,14.01922614285715,-1.9843214642857205,0.0,48047,480470.0,0.004731188225130668
State_02,-32.094195,5.791865607142846,8.734765511186254,15555,155550.0,0.10669695283510078
State_03,-31.350430142857146,-13.216591678571433,8.741541719672458,10095,100950.0,0.17853208604572116
State_04,-29.86290042857143,-17.53669560714286,8.974467072277271,18313,183130.0,0.05742074580468928
State_05,-21.681487,-31.36102817857143,9.057100410688022,16178,161780.0,0.162257666418583
