state,pc1,pc2,free_energy_kJ_mol,frame_index,time_ps,distance_in_PC_space
State_01,-3.9763117500000003,-4.39997675,0.0,40084,400840.0,0.011137762954247617
State_02,-4.376945750000001,-3.49469825,0.1516821302084992,41018,410180.0,0.001736593252607623
State_03,-0.6710812500000007,3.3451837499999995,0.18230957678488124,20133,201330.0,0.003828317597195732
State_04,-2.0733002500000004,3.54635675,0.47117584363925147,22916,229160.0,0.006436750393249219
State_05,-1.4723492500000004,3.54635675,0.9908222491766949,27656,276560.0,0.006196846869578588
