state,pc1,pc2,free_energy_kJ_mol,frame_index,time_ps,distance_in_PC_space
State_01,9.613008750000002,4.730520357142855,0.0,10393,103930.0,0.0034731462029698856
State_02,-15.260847321428571,-1.9457596428571442,2.7053952571677407,44021,440210.0,0.012355893481690887
State_03,5.927993035714287,-4.56858392857143,2.7097435000765984,23404,234040.0,0.010857291477191177
State_04,8.998839464285716,-0.2766896428571437,3.7532348453726705,16348,163480.0,0.0023098477965237617
State_05,3.1642312500000003,-6.833750357142858,4.147659802839417,32816,328160.0,0.016304276769478793
